SNo	Date	Month	Year	BS	Expenses Group	Group	Sub Group	Bill Date	Vendor Name	Details-Description	Qty	KG	Feed KG	Rate	Amount
53	9/22/2025	Sep	2025	BS	Vehicls Running		Petrol			Petrol for Scooter					220
54	9/21/2025	Sep	2025	BS	Building Construction		River Sand			River Sand 2 Trailor @ 4000		1		4500	4500
54	9/21/2025	Sep	2025	BS	Building Construction		Cement			Cement 20 Bags Champian		20		340	6800
54	9/21/2025	Sep	2025	BS	Building Construction		Feright and Cartage			Loading of Cement					60
55	9/23/2025	Sep	2025	BS	Factory Shed		Nail			2" Nail  250 gm					25
56	9/23/2025	Sep	2025	BS	Land Development		Soil			JCB Soil Feeling 3.17 Hours @ Rs 1000					3170
57	9/23/2025	Sep	2025	BS	Land Development		JCB - Leveling Charge			Soil 31 Tractor @ 200		31		200	6200
58	9/24/2025	Sep	2025	BS	Building Construction		Window Net			400 F X 9 X 100=900					900
59	9/24/2025	Sep	2025	BS	Building Construction		Nail			Chaisa kati 15X30					45
60	9/24/2025	Sep	2025	BS	Tools		Tools			Water Spry Bottel					200
61	9/24/2025	Sep	2025	BS	Vehicls Running		Petrol			Petrol for Scooter					360
61	9/24/2025	Sep	2025	BS	Building Construction		Wages			Labour Charge - Gopal+Labour upto 24/09					9600
62	9/26/2025	Sep	2025	BS	Building Construction		River Sand			River Sand 1 Tractor					4400
63	9/26/2025	Sep	2025	BS	Building Construction		Cement			Cement 5 Bags		5		340	1700
64	9/26/2025	Sep	2025	BS	Building Construction		Cement			Cement 6 Bags		6		340	2040
65	9/27/2025	Sep	2025	BS	Building Construction		Bricks			Bricks - 1/2 Size		1		3000	3000
66	9/27/2025	Sep	2025	BS	Building Construction		Feright and Cartage			Loading of Bricks					100
67	9/27/2025	Sep	2025	BS	Building Construction		Cement			Cement 3 Bags		3		340	1020
68	9/27/2025	Sep	2025	BS	Building Construction		River Sand			River Sand  20 Box		20		45	900
69	9/27/2025	Sep	2025	BS	Building Construction		Cement			Cement 3 Bags		2		340	680
70	9/27/2025	Sep	2025	BS	Building Construction		Feright and Cartage			Freight 					200
71	9/29/2025	Sep	2025	BS	Building Construction		Wages			Labour Charge - Gopal+Labour upto 25/09 to 29/09					11200
72	9/29/2025	Sep	2025	BS	Building Construction		Factory Gate	Bill No Nil	Nand Prakash	Steel Gate Making-Part Payment- Final Paymet					8595
73	9/29/2025	Sep	2025	BS	Building Construction		Cement			Cement 1 Bags		1		340	340
74	9/29/2025	Sep	2025	BS	Building Construction		Cement			Cement 1 Bags		1		340	340
75	9/30/2025	Sep	2025	BS	Land Development		Wages			Labour Charge 2 X 450					900
76	10/2/2025	Oct	2025	BS	Building Construction	Office Gate	Office Gate			Office Gate Wooden					4750
77	10/2/2025	Oct	2025	BS	Freight and Cartage	Office Gate	Feright and Cartage			Auto Fare					100
78	10/2/2025	Oct	2025	P&L	Feeding Material	P&L	Bhusa	Lot 1		Lot No 1 Bhusa Two Tralor					8000
79	10/5/2025	Oct	2025	BS	Building Construction	Staff Room	Bricks			1 Trailor  Bricks					10600
80	10/5/2025	Oct	2025	BS	Vehicls Running	Common	Petrol			Petrol for Scooter					220
81	10/7/2025	Oct	2025	P&L	Feeding Material	P&L	Freight and Cartage-B	Lot 1		Lot No -1Tractor Bara-Freight for Bhusa					750
82	10/3/2025	Oct	2025	BS	Building Construction	Staff Room	River Sand			River Sand 1 Tractor					4300
82	10/3/2025	Oct	2025	BS	Building Construction	Staff Room	Cement			Cement Bags		7		340	2380
82	10/3/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Wages					758
83	10/7/2025	Oct	2025	BS	Building Construction	Office	Office Gate			Gate Fitting Charge					400
84	10/7/2025	Oct	2025	BS	Electrical Installation	Staff Room	Electrical Installation			Electrical Material-Boad+Loght+Holder					3181
85	10/7/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Wages 2 Days 6 and 7 Oct  1 M+2 Labour (450*2*2+700*2)					3200
86	10/9/2025	Oct	2025	BS	Electrical Installation	Office	Electrical Installation			Paid to Electrician					500
87	10/9/2025	Oct	2025	BS	Building Construction	Staff Room	Cement			Cement		3		330	990
88	10/9/2025	Oct	2025	BS	Building Construction	Staff Room	Gate			Labour Room Gate					1500
89	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Cement Albestus			Cement Albestus 8 Feet 					8900
89	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Pipe			1 Pipes 20 Feet					
