SNo	Date	Month	Year	BS	Expenses Group	Group	Sub Group	Bill Date	Vendor Name	Details-Description	Qty	KG	Feed KG	Rate	Amount
227	12/3/2025	Dec	2025	P&L	Feeding Material	P&L	Rice			Rice 14 KG 			14	15	210
228	12/4/2025	Dec	2025	BS	Electrical Installation	BS	Electrical Installation			Electric Wire+2 Light+Misc					1675
229	12/1/2025	Dec	2025	P&L	Printing and Stationery	P&L	Pen			Pen Purchase					30
230	12/1/2025	Dec	2025	P&L	Wages	P&L	Wages			Wages Paid to Bisnath					10000
231	12/1/2025	Dec	2025	P&L	Wages	P&L	Wages			Wages Paid to Raj Kumar					800
232	11/3/2025	Nov	2025	P&L	Operative Expenses	P&L	Wire			Wire Tap					15
233	12/1/2025	Dec	2025	P&L	Operative Expenses	P&L	Powder			Powder 65					65
234	11/26/2025	Nov	2025	P&L	Vehicls Running	P&L	Petrol			Petrol in bike					360
235	12/3/2025	Dec	2025	P&L	Vehicls Running	P&L	Petrol			Petrol in bike					230
236	12/7/2025	Dec	2025	P&L	Operative Expenses	P&L	Mics Items			Bartan Clenar					75
237	12/8/2025	Dec	2025	P&L	Electrical Installation	BS	Electrical Installation			Bulb + Holder					380
238	12/11/2025	Dec	2025	P&L	Operative Expenses	P&L	Mics Items			Pipe Jointer					70
239	12/11/2025	Dec	2025	P&L	Wages	P&L	Wages			Wages Paid to Bisnath					500
240	12/9/2025	Dec	2025	P&L	Operative Expenses	P&L	Mics Items			Sharp Blade					25
241	12/12/2025	Dec	2025	P&L	Operative Expenses	P&L	Mics Items								327
242	12/12/2025	Dec	2025	P&L	Wages	P&L	Wages			Wages Paid to Rajkumar					500
243	12/12/2025	Dec	2025	P&L	Wages	P&L	Wages			Wages Paid to Rajkumar					6000
244	12/12/2025	Dec	2025	P&L	Wages	P&L	Wages			Wages Paid to Bisnath					5000
245	12/12/2025	Dec	2025	P&L	Operative Expenses	P&L	Tools			Alu Bucket -2 pcas @ 120/KG+Chuna+sinner					560
246	12/12/2025	Dec	2025	P&L	Travelling Charge	P&L	Travelling Charge			Car Parking Charge at Sonpur 					100
247	12/11/2025	Dec	2025	P&L	Travelling Charge	P&L	Travelling Charge			Petrol 210 KM X 10					2100
248	12/11/2025	Dec	2025	P&L	Travelling Charge	P&L	Travelling Charge			Tol Charge  60+30					90
249	12/11/2025	Dec	2025	P&L	Staff Welfare	P&L	Staff Welfare			Inner Wear for Staff					300
250	12/11/2025	Dec	2025	P&L	Repair and Maintainance	P&L	Hand Pump			Hand Pump Reparing Charge					200
251	12/11/2025	Dec	2025	P&L	Repair and Maintainance	P&L	Hand Pump			Material for Hand Pump					100
252	12/12/2025	Dec	2025	P&L	Feeding Material	P&L	Weat			Weat 114 kg X 15			114	15	1710
253	12/12/2025	Dec	2025	P&L	Feeding Material	P&L	Masala			Masala					500
254	12/12/2025	Dec	2025	P&L	Feeding Material	P&L	Misc			Wheat pasai					80
255	12/18/2025	Dec	2025	P&L	Vehicls Running	P&L	Petrol			Petrol					500
256	12/19/2025	Dec	2025	P&L	Vehicls Running	P&L	Petrol			Petrol					300
257	12/22/2025	Dec	2025	P&L	Medicine	P&L	Medicine			Jerout Medicine					95
258	12/23/2025	Dec	2025	P&L	Vehicls Running	P&L	Petrol			Petrol					300
259	1/2/2026	Jan	2026	P&L	Staff Welfare	P&L	LPG  Gas			LPG  Gas					952
260	1/2/2026	Jan	2026	P&L	Feeding Material	P&L	Namak			Namak					200
261	1/2/2026	Jan	2026	P&L	Feeding Material	P&L	Mith/Gur			Mith/Gur   32.7*41		32.7		41	1340
262	1/2/2026	Jan	2026	P&L	Feeding Material	P&L	Dal			Dal  66 KG X 30		66		30	0
263	1/2/2026	Jan	2026	P&L	Vehicls Running	P&L	Petrol			Petrol					500
264	1/3/2026	Jan	2026	P&L	Wages	P&L	Wages			Wages to Raj Kumar 					2500
265	12/29/2026	Dec	2026	P&L	Wages	P&L	Wages			Wages to Bisnath Bhagat					4000
266	1/3/2026	Jan	2026	P&L	Wages	P&L	Wages			Wages to Bisnath Bhagat					6000
267	1/4/2026	Jan	2026	P&L	Medicine	P&L	Medicine			Kalsakti 265					265
268	1/4/2026	Jan	2026	P&L	Medicine	P&L	Medicine			Sanjeev Ni Gold					690
269	1/4/2026	Jan	2026	P&L	Medicine	P&L	Medicine			Milk -O- Feeti 1 Kg					225
270	1/4/2026	Jan	2026	P&L	Medicine	P&L	Medicine			Jerout Colin 500 ml					95
271	1/4/2026	Jan	2026	P&L	Medicine	P&L	Medicine			Snli Liver Items 500 ml					100
272	1/4/2026	Jan	2026	P&L	Medicine	P&L	Medicine			Milk -O- Feeti 5 Kg					1250
273	1/6/2026	Jan	2026	P&L	Misc	P&L	Misc			Bartan washer					60
274	1/7/2026	Jan	2026	BS	Security  Money Deposite	BS	Security  Money Deposite			Deposited with Bapudham Dairy  Motihari					28000
275	1/7/2026	Jan	2026	P&L	Medicine	P&L	Seamen Cow-1			Seamen Loding Cow-1					250
276	1/13/2026	Jan	2026	P&L	Feeding Material-2	P&L	Maa Dairy Feed-Feed			Maa Dairy Feed 50 KG @ 1600 X 5	5	50	250	1600	8000
277	1/13/2026	Jan	2026	P&L	Feeding Material-2	P&L	Maa Dairy Feed-Freight			Maa Dairy Feed 50 KG X 5 Bags Transportation Charge					800
278	1/13/2026	Jan	2026	P&L	Power & Fuel	P&L	Electric Bills Recharge			Electric Bills Recharge  					500
279	12/27/2025	Dec	2025	P&L	Power & Fuel	P&L	Electric Bills Recharge			Electric Bills Recharge					500
